street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
3368 Charleston Way,90068,LOS ANGELES,SingleFamily,2018,894733,1925,4251,1956,3,3,1275521,Hollywood Hills,neighborhood
21529 Saticoy St APT 103,91304,Los Angeles,Condominium,2018,319e3,1982,29185,1033,2,2,357501,Canoga Park,neighborhood
21529 Saticoy St APT 113,91304,Los angeles,MultiFamily2To4,2018,221604,1982,29336,1e3,2,2,414533,Canoga Park,neighborhood
21529 Saticoy St APT 114,91304,Los Angeles,Condominium,2018,220564,1982,871,933,2,2,331141,Canoga Park,neighborhood
21529 Saticoy St APT 213,91304,Los Angeles,Condominium,2018,244493,1982,29336,1157,2.5,2,381401,Canoga Park,neighborhood
1205 W 73rd St,90044,LOS ANGELES,SingleFamily,2018,433806,1910,5584,1969,3,5,539965,South Los Angeles,neighborhood
4455 Woodley Ave,91436,ENCINO,SingleFamily,2018,1748210,1965,23721,5112,6,6,3080863,Encino,neighborhood
4455 Woodley Ave,91436,Encino,SingleFamily,2018,432903,NA,22326,NA,NA,0,NA,Encino,neighborhood
5916 Tipton Way,90042,LOS ANGELES,SingleFamily,2018,676260,1946,7507,1252,2,3,850331,Highland Park,neighborhood
5916 Nagle Ave,91401,Valley Glen,SingleFamily,NA,NA,1950,NA,2696,3,4,1154153,Valley Glen,neighborhood
212 W 47th Pl,90037,LOS ANGELES,SingleFamily,2018,291123,1911,5710,1635,2,4,454545,Southeast Los Angeles,neighborhood
1217 W E St,90744,WILMINGTON,SingleFamily,2018,66863,1955,4799,1162,2,4,453786,Wilmington,neighborhood
231 S Alexandria Ave,90004,LOS ANGELES,MultiFamily2To4,2018,1440954,1924,7261,1368,5,6,1340440,Koreatown,neighborhood
11136 Leadwell St,91352,SUN VALLEY,SingleFamily,2018,382365,1949,6736,1008,1,3,484771,Sun Valley,neighborhood
755 And 757 East 79th St,90001,Los Angeles,SingleFamily,NA,NA,1926,5227,1820,2,5,494373,Florence-Graham,city
757 Holland Ave,90042,LOS ANGELES,SingleFamily,2018,340941,2008,4770,1e3,1,1,680622,Highland Park,neighborhood
1450 Yosemite Dr,90041,LOS ANGELES,Apartment,2018,233686,1910,6499,2139,1,2,NA,Eagle Rock,neighborhood
9436 S Harvard Blvd,90047,LOS ANGELES,SingleFamily,2018,476182,1925,6625,3187,4,5,709158,South Los Angeles,neighborhood
12301 W Pico Blvd APT 404,90064,Los Angeles,Apartment,NA,NA,2013,NA,387,1,0,NA,Sawtelle,neighborhood
424 W Pico Blvd APT 404,90015,Los Angeles,Apartment,NA,NA,NA,NA,806,1,1,NA,Downtown,neighborhood
346 N Spaulding Ave,90036,LOS ANGELES,Quadruplex,2018,354307,1928,6354,5662,4,8,2334828,Mid City West,neighborhood
10732 Andasol Ave,91344,GRANADA HILLS,SingleFamily,2018,110955,1960,5473,1408,2,3,621877,Granada Hills,neighborhood
7711 Etiwanda Ave,91335,RESEDA,SingleFamily,2018,307192,1990,7297,2173,3,4,678536,Reseda,neighborhood
7359 Kelvin Ave,91306,WINNETKA,SingleFamily,2018,405136,1947,17024,1600,2,4,660817,Winnetka,neighborhood
8600 La Tuna Canyon Rd,91352,SUN VALLEY,SingleFamily,2018,624240,1929,6155,3251,5,4,1245208,Tujunga,neighborhood
9150 Larke Ellen Cir,90035,LOS ANGELES,SingleFamily,2018,469092,1937,9157,2176,2,3,2249458,Pico-Robertson,neighborhood
5031 Nagle Ave,91423,SHERMAN OAKS,SingleFamily,2018,165368,1940,7084,2033,2,3,1185857,Sherman Oaks,neighborhood
4211 Stillwell Ave,90032,LOS ANGELES,SingleFamily,2018,56326,1921,15845,1344,1,3,821497,El Sereno,neighborhood
12153 Nugent Dr,91344,GRANADA HILLS,SingleFamily,2018,791e3,1978,18248,2223,2,4,871236,Granada Hills,neighborhood
1282 W Park Western Dr UNIT 107,90732,Los angeles,Condominium,2018,172060,1983,116291,711,1,1,343656,San Pedro,neighborhood
1282 W Park Western Dr UNIT 110,90732,Los angeles,Condominium,2018,294252,1983,116291,711,1,1,343557,San Pedro,neighborhood
612 W M St,90744,WILMINGTON,SingleFamily,2018,369957,1925,4286,1008,1,3,425262,Wilmington,neighborhood
500 E 32nd St,90011,LOS ANGELES,SingleFamily,2018,35e4,1904,4999,1708,1,4,461513,Central City,neighborhood
3121 E Cesar E Chavez Ave,90063,LOS ANGELES,Triplex,2018,200327,1918,9877,1872,2,2,609290,Boyle Heights,neighborhood
1509 E 108th St,90059,LOS ANGELES,Duplex,2018,241752,1918,8649,3219,4,6,664777,Watts,neighborhood
19608 Lull St,91335,RESEDA,SingleFamily,2018,439048,1952,7300,1295,1,3,542158,Reseda,neighborhood
6445 Mary Ellen Ave,91401,VAN NUYS,SingleFamily,2018,75576,1951,6273,1389,2,3,672715,Valley Glen,neighborhood
17512 Hamlin St,91406,VAN NUYS,SingleFamily,2018,76006,1950,6431,1121,1,3,623296,Lake Balboa,neighborhood
2839 Graysby Ave,90732,SAN PEDRO,SingleFamily,2018,941991,1961,6473,2336,2,4,1159735,San Pedro,neighborhood
